doc,query,pq_q_recall,pq_q_ap,q_weight_perc,pq_q_results_jacc,pq_q_results_cosine,pq_results_ap,q_results_ap,pq_results_prec,q_results_prec
AP880623-0294,174,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.9968158556544633,0.12048192771084337,0.10266303308471983,1.0,0.9
AP880917-0104,148,0.0,0.0,0.0,0.0,0.9946348050884067,0.0011363636363636363,0.018506493506493506,0.1,0.5
AP880721-0095,172,0.0,0.0,0.0,0.0,0.9947682037835224,0.0,0.025,0.0,0.1
AP880721-0095,173,0.5,0.5,0.22580645161290322,0.17647058823529413,0.9969025637503871,0.04016928610524669,0.043295019157088124,0.9,0.9
AP880721-0095,125,0.2,0.25,0.22580645161290322,0.0,0.9957514724026605,0.02266081871345029,0.07368421052631578,0.4,0.7
AP890424-0284,195,0.25,0.2857142857142857,0.3448275862068966,0.0,0.9924615274341827,0.024999999999999998,0.0,0.4,0.0
AP890412-0121,133,0.3333333333333333,0.3333333333333333,0.25,0.0,0.9952018136016575,0.0,0.5213675213675214,0.0,0.7
AP880528-0031,144,0.0,0.0,0.0,0.0,0.9925589443319244,0.0,0.003401360544217687,0.0,0.1
AP880409-0180,142,0.125,0.023809523809523808,0.08108108108108109,0.0,0.9858761929228531,0.0210447373393802,0.007227891156462584,0.9,0.3
AP880321-0288,169,0.0,0.0,0.0,0.0,0.9923264026548662,0.0,0.03645833333333333,0.0,0.2
AP880609-0179,129,0.2,0.07142857142857142,0.08163265306122448,0.0,0.9905946615609259,0.019461077844311378,0.023952095808383235,0.4,0.4
AP880609-0179,149,0.0,0.0,0.0,0.0,0.992094861747034,0.0,0.04145408163265306,0.0,0.3
AP891218-0158,150,0.0,0.0,0.0,0.0,0.9881724541023662,0.0,0.0423728813559322,0.0,1.0
AP891205-0198,117,0.14285714285714285,0.05,0.08080808080808081,0.0,0.9866062333517438,0.09808429118773945,0.05935960591133004,0.5,0.4
AP890308-0220,158,0.125,0.25,0.19402985074626866,0.0,0.993497096381388,0.0,0.0,0.0,0.0
AP880401-0072,148,0.0,0.0,0.0,0.0,0.9944171122266949,0.045454545454545456,0.018506493506493506,1.0,0.5
AP890406-0119,142,0.0,0.0,0.0,0.0,0.9887880611907475,0.0,0.007227891156462584,0.0,0.3
AP890302-0037,158,0.125,0.25,0.17307692307692307,0.0,0.9936755072696096,0.0,0.0,0.0,0.0
